PID,Product Name,Category,Final Price,Initial Price,Color,Primary Color,Fabric
CL0031286, Floral embellished faux-wrap dress, Dress,76.95,57.95, Spring green, Spring green, Cotton
CL0031215, Pleat waist poplin shirtdress, Dress,64.95,48.95, Spring green, Spring green, Cotton
CL0031588, Chevron stripe colorblock maxi dress, Dress,99.95,74.95, Spring green/black/white, Spring green, Cotton
CL0031495, Contrast banded stripe sheath dress, Dress,64.95,48.95, Spring green/white, Spring green, Cotton
CL0031217, Havana dress, Dress,59.95,44.95, Spring green, Spring green, Cotton
CL0031218, Cotton poplin sheath dress, Dress,59.95,44.95, Spring green, Spring green, Cotton
CL0031259, Virginia dress, Dress,66.95,50.95, Spring green, Spring green, Cotton
CL0031289, Tie neck cotton poplin dress, Dress,59.95,44.95, Spring green, Spring green, Cotton
CL0031242, Floral embellished sweetheart poplin dress, Dress,96.95,72.95, Spring green, Spring green, Cotton
CL0031288, Ruffle front poplin dress, Dress,69.95,52.95, Spring green, Spring green, Cotton
CL0032199, Beaded cotton poplin sheath dress, Dress,86.95,65.95, Spring green, Spring green, Cotton
CL0031267, Embellished stripe waist poplin dress, Dress,76.95,57.95, Spring green multi, Spring green multi, Cotton
CL0031287, Sash waist poplin skirt, Skirt,59.95,44.95, Spring green, Spring green, Cotton
CL0031947, Colorblock retro poplin frock, Dress,59.95,44.95, Black/spring green, Black, Cotton
